"","household_key","BASKET_ID","PRODUCT_ID","QUANTITY","SALES_VALUE","RETAIL_DISC","COUPON_DISC","COUPON_MATCH_DISC"
"15703",2182,27288377026,41743,1,2.5,-0.49,0,0
"15704",2182,27288377026,46370,1,1.49,0,0,0
"15705",2182,27288377026,48065,1,2.19,0,0,0
"15706",2182,27288377026,111894,1,3.99,-3,0,0
"15707",2182,27288377026,326597,1,1.79,-0.2,0,0
"15708",2182,27288377026,357169,1,2.49,-0.5,0,0
"15709",2182,27288377026,373795,1,3.89,-1.56,0,0
"15710",2182,27288377026,7189922,1,3,-0.19,0,0
"26492",2182,27404676049,46352,1,3.5,-0.39,0,0
"33091",2182,27471976071,32457,1,2.59,0,0,0
"33092",2182,27471976071,35331,2,1,-0.16,0,0
"33093",2182,27471976071,36618,2,2.5,0,0,0
"33094",2182,27471976071,49278,1,0.5,0,0,0
"33095",2182,27471976071,50032,2,1.58,0,0,0
"33096",2182,27471976071,57390,1,1.19,0,0,0
"33097",2182,27471976071,73207,1,1.49,0,0,0
"33098",2182,27471976071,123037,1,0.59,0,0,0
"33099",2182,27471976071,190064,1,5.15,0,0,0
"35314",2182,27496106798,32124,1,2.5,-1.49,0,0
"35315",2182,27496106798,50455,1,2.19,0,0,0
"35316",2182,27496106798,247734,1,7.34,-2.94,0,0
"35317",2182,27496106798,357169,1,2.49,-0.5,0,0
"35318",2182,27496106798,359526,1,1.67,-1.72,0,0
"35319",2182,27496106798,408450,1,2.4,-0.3,0,0
"53543",2182,27652047013,67860,1,2.5,-0.89,0,0
"53544",2182,27652047013,326597,1,1.79,-0.2,0,0
"53545",2182,27652047013,334648,1,2.69,-1.04,0,0
"53546",2182,27652047013,6446794,1,4.39,0,0,0
"53547",2182,27652047013,9807328,1,2.99,0,0,0
"70224",1176,27771857605,28966,1,0.85,0,0,0
"70225",1176,27771857605,32384,1,0.99,0,0,0
"70226",1176,27771857605,71805,1,4.44,-1.95,0,0
"70227",1176,27771857605,94548,1,2,0,0,0
"70228",1176,27771857605,116551,1,3.09,0,0,0
"70229",1176,27771857605,133533,1,2.5,-0.19,0,0
"70230",1176,27771857605,136182,2,4,-1.98,0,0
"70231",1176,27771857605,177274,2,1.6,-0.4,0,0
"70232",1176,27771857605,177679,1,0.8,-0.2,0,0
"70233",1176,27771857605,192540,2,1.6,-0.4,0,0
"70234",1176,27771857605,199881,1,0.8,-0.2,0,0
"70235",1176,27771857605,204662,2,1.6,-0.4,0,0
"70236",1176,27771857605,207534,3,2.4,-0.6,0,0
